_id,index,id,Year,Type,Country,State,Activity,Sex,Age,Injury
6696ff4dc10ca7acadf71b07,1489,1489,2011,Unprovoked,USA,Texas,Wade Fishing,F,39,"Lacerations to anterior left shin, abrasion to posteior right leg"
6696ff4dc10ca7acadf71b08,1490,1490,2011,Unprovoked,RUSSIA,Primorsky Krai,"Standing, collecting sea stars",M,NaN,Superficial laceration to shoulder
6696ff4dc10ca7acadf71b09,1491,1491,2011,Unprovoked,USA,North Carolina,Surfing,M,21,Lacerations to foot
6696ff4dc10ca7acadf71b0a,1492,1492,2011,Unprovoked,USA,North Carolina,NaN,M,10,Heel bitten
6696ff4dc10ca7acadf71b0b,1493,1493,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,49,FATAL
6696ff4dc10ca7acadf71b0c,1494,1494,2011,Unprovoked,RUSSIA,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Swimming,M,16,"Lacerations to hip, thigh and knee"
6696ff4dc10ca7acadf71b0d,1495,1495,2011,Unprovoked,USA,North Carolina,Wading,F,20s,Lacerations to foot
6696ff4dc10ca7acadf71b0e,1496,1496,2011,Invalid,USA,North Carolina,NaN,M,12,Abrasions to left hand
6696ff4dc10ca7acadf71b0f,1497,1497,2011,Unprovoked,RUSSIA,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Swimming,M,25,Hands severed
6696ff4dc10ca7acadf71b10,1498,1498,2011,Unprovoked,FRENCH POLYNESIA,Society Islands,Surfing,M,32,"No injury, board bitten"
6696ff4dc10ca7acadf71b11,1499,1499,2011,Unprovoked,USA,Puerto Rico,Floating ,M,27,Lacerations to  lower right leg and foot
6696ff4dc10ca7acadf71b12,1500,1500,2011,Unprovoked,SEYCHELLES,Praslin,Swimming or Snorkeling,M,30,FATAL
6696ff4dc10ca7acadf71b13,1501,1501,2011,Invalid,USA,South Carolina,Playing in the surf,M,7,Puncture wounds to foot
6696ff4dc10ca7acadf71b14,1502,1502,2011,Unprovoked,USA,North Carolina,Swimming,M,54,Lower right leg bitten
6696ff4dc10ca7acadf71b15,1503,1503,2011,Unprovoked,SEYCHELLES,Praslin,Diving,M,36,FATAL
6696ff4dc10ca7acadf71b16,1504,1504,2011,Invalid,BRAZIL,Pernambuco,Swimming,M,14,Cause of death may have been drowning; remains scavenged by sharks
